#{"t_start": 1779729238.4158213, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,0.009019
0.0,4,0.013514
-0.783202,3,0.017298
0.0,3,0.020161
-0.284549,2,0.022129
-0.644291,3,0.025158
0.0,4,0.029016
0.0,4,0.033474
-0.157082,3,0.036382
0.0,3,0.039103
-0.960643,3,0.041692
-0.145983,3,0.045411
0.0,4,0.050871
0.0,3,0.05436
0.0,3,0.057717
0.0,3,0.061492
0.0,2,0.063504
-1.0,2,0.065502
0.0,5,0.069981
0.014399,3,0.072999
0.0,4,0.076749
0.0,2,0.079715
-0.576105,3,0.082646
0.0,3,0.085394
-0.145144,3,0.088521
0.0,2,0.090395
-1.0,4,0.095306
0.0,5,0.10048
0.168106,3,0.10338
-1.0,2,0.106255
0.207401,3,0.109427
-1.0,3,0.112353
-0.842331,6,0.117958
-0.283089,4,0.122422
0.0,3,0.125653
-0.259219,4,0.12951
0.0,2,0.131532
0.0,4,0.135805
-0.344375,4,0.140593
0.0,4,0.144431
-0.900502,3,0.14743
0.0,2,0.149736
0.0,3,0.152694
-1.0,3,0.155604
-0.487835,5,0.160347
0.019662,4,0.164289
-0.284041,4,0.168355
0.0,2,0.170716
0.837772,2,0.172857
0.0,3,0.176247
0.0,4,0.180174
0.0,3,0.183
0.315098,2,0.18497
0.0,4,0.188581
0.0,4,0.192298
-1.0,3,0.19502
0.0,4,0.198944
0.854081,3,0.20318
0.0,3,0.206799
-1.0,2,0.20873
0.0,2,0.21062
0.989633,5,0.215576
-0.237012,4,0.21995
0.0,3,0.223194
0.0,4,0.227086
0.0,3,0.230135
-1.0,4,0.234317
0.0,4,0.2379
-1.0,3,0.240771
-0.363114,3,0.243958
0.0,3,0.24755
1.0,3,0.251119
-1.0,3,0.255295
-0.63417,4,0.260351
-0.697959,3,0.263328
0.699942,3,0.26631
0.561858,2,0.268243
0.0,4,0.271934
-0.016091,4,0.275519
0.0,3,0.278112
0.0,3,0.280673
0.0,2,0.282499
0.0,3,0.285649
-0.520156,4,0.290117
-0.630214,2,0.291993
-0.267983,4,0.295721
0.0,4,0.299273
-1.0,3,0.302021
-1.0,3,0.304725
0.0,2,0.306451
-1.0,2,0.308101
1.5,2,0.309817
0.0,2,0.311535
0.0,3,0.314393
-1.0,3,0.317152
-0.544687,5,0.321243
0.0,3,0.324443
0.0,2,0.326242
-0.256514,3,0.329577
0.0,2,0.331455
1.0,2,0.333368
-1.0,4,0.337026
0.0,4,0.340441
-0.433508,3,0.343098
0.0,4,0.346894
-0.272079,2,0.349076
-1.0,4,0.353266
0.693933,2,0.355078
0.0,3,0.358004
-1.0,4,0.361589
0.0,4,0.365095
0.0,2,0.366813
-0.41321,5,0.371632
0.0,4,0.375645
0.0,3,0.378268
0.0,4,0.381602
-0.517808,3,0.384151
-1.0,3,0.38688
-0.494544,3,0.389314
0.0,3,0.391892
0.0,4,0.395728
-1.0,2,0.397797
-0.054895,3,0.401239
0.351376,3,0.404134
-0.160767,3,0.407406
0.0,2,0.409236
-0.29416,3,0.411893
0.0,3,0.414813
-0.145363,3,0.417464
-1.0,2,0.419311
-0.784255,5,0.423795
0.0,5,0.428499
0.0,3,0.431318
0.0,3,0.434473
-0.707264,3,0.437545
0.0,3,0.440387
0.0,7,0.446876
0.0,3,0.450126
0.0,4,0.453873
-0.027423,5,0.458609
0.0,5,0.463311
0.0,2,0.465221
-0.650081,4,0.468805
1.0,4,0.472418
0.0,3,0.475077
-1.0,2,0.477211
-0.950639,2,0.479161
0.0,3,0.482543
-0.682499,4,0.486453
-0.825216,6,0.49249
-0.277786,4,0.495994
0.0,4,0.500294
