#{"t_start": 1779969978.3836508, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,1.561795
0.0,4,1.566288
-0.783202,3,1.569214
0.0,3,1.572809
-0.284549,2,1.574835
-0.644291,3,1.577913
0.0,4,1.581551
0.0,4,1.585584
-0.157082,3,1.588251
0.0,3,1.591264
-0.960643,3,1.594062
-0.145983,3,1.596891
0.0,4,1.60067
0.0,3,1.603494
0.0,3,1.606488
0.0,3,1.609129
0.0,2,1.611283
-1.0,2,1.613368
0.0,5,1.618067
0.014399,3,1.620942
0.0,4,1.624638
0.0,2,1.626507
-0.576105,3,1.629328
0.0,3,1.6323
-0.145144,3,1.635165
0.0,2,1.636896
-1.0,4,1.641906
0.0,5,1.646432
0.168106,3,1.64944
-1.0,2,1.65122
0.207401,3,1.653987
-1.0,3,1.656759
-0.842331,6,1.662082
-0.283089,4,1.66568
0.0,3,1.668417
-0.259219,4,1.672513
0.0,2,1.674487
0.0,4,1.678274
-0.344375,4,1.681987
0.0,4,1.685615
-0.900502,3,1.688335
0.0,2,1.690201
0.0,3,1.692786
-1.0,3,1.695551
-0.487835,5,1.70049
0.019662,4,1.704211
-0.284041,4,1.707734
0.0,2,1.70964
0.837772,2,1.711453
0.0,3,1.714123
0.0,4,1.717721
0.0,3,1.720407
0.315098,2,1.722222
0.0,4,1.725853
0.0,4,1.729379
-1.0,3,1.732136
0.0,4,1.735578
0.854081,3,1.738308
0.0,3,1.740968
-1.0,2,1.742759
0.0,2,1.744665
0.989633,5,1.749083
-0.237012,4,1.752706
0.0,3,1.755326
0.0,4,1.758844
0.0,3,1.761589
-1.0,4,1.765203
0.0,4,1.768728
-1.0,3,1.771559
-0.363114,3,1.77449
0.0,3,1.777144
1.0,3,1.779967
-1.0,3,1.782616
-0.63417,4,1.786157
-0.697959,3,1.788866
0.699942,3,1.791626
0.561858,2,1.793479
0.0,4,1.79703
-0.016091,4,1.80056
0.0,3,1.803324
0.0,3,1.806003
0.0,2,1.807833
0.0,3,1.810586
-0.520156,4,1.814169
-0.630214,2,1.815981
-0.267983,4,1.81944
0.0,4,1.823039
-1.0,3,1.825654
-1.0,3,1.828448
0.0,2,1.830317
-1.0,2,1.832106
1.5,2,1.833936
0.0,2,1.835876
0.0,3,1.838745
-1.0,3,1.841704
-0.544687,5,1.84654
0.0,3,1.849556
0.0,2,1.851557
-0.256514,3,1.854208
0.0,2,1.856111
1.0,2,1.858076
-1.0,4,1.861801
0.0,4,1.865905
-0.433508,3,1.869089
0.0,4,1.873482
-0.272079,2,1.875472
-1.0,4,1.879416
0.693933,2,1.881235
0.0,3,1.883989
-1.0,4,1.887467
0.0,4,1.891307
0.0,2,1.893168
-0.41321,5,1.897533
0.0,4,1.901057
0.0,3,1.903695
0.0,4,1.907294
-0.517808,3,1.909871
-1.0,3,1.912601
-0.494544,3,1.915198
0.0,3,1.917874
0.0,4,1.921342
-1.0,2,1.923119
-0.054895,3,1.925952
0.351376,3,1.928881
-0.160767,3,1.931543
0.0,2,1.93327
-0.29416,3,1.936171
0.0,3,1.938762
-0.145363,3,1.94166
-1.0,2,1.94336
-0.784255,5,1.947907
0.0,5,1.952101
0.0,3,1.9549
0.0,3,1.95741
