#{"t_start": 1779788540.488714, "env_id": "Blackjack4game-v1"}
r,l,t
-0.346718,2,0.916235
0.0,2,0.91795
1.5,2,0.919802
-0.367394,3,0.922513
0.0,3,0.925133
-0.285045,3,0.927839
-0.921321,3,0.930585
0.0,3,0.93334
0.0,4,0.936862
0.0,2,0.938623
0.0,3,0.941358
0.0,4,0.944787
-0.467923,4,0.948794
-0.463643,3,0.952564
-0.783419,3,0.955467
-0.984392,2,0.957292
0.0,3,0.959906
0.0,2,0.961823
-0.339027,5,0.966481
-1.0,3,0.969284
0.0,4,0.972782
-0.703797,2,0.974591
0.0,3,0.977317
-0.451511,3,0.979947
-1.0,4,0.983483
0.0,3,0.986306
0.0,4,0.989884
-1.0,3,0.992535
0.419182,4,0.995999
-0.199729,3,0.998655
0.0,4,1.002072
-2.0,2,1.004222
1.5,2,1.005977
0.0,3,1.008707
-0.032261,2,1.01063
-0.084165,4,1.058875
1.5,2,1.060768
1.0,4,1.064225
-1.0,4,1.067623
0.0,3,1.070246
0.0,3,1.072735
-0.09649,5,1.076863
-1.0,2,1.078517
-0.245805,3,1.081019
0.0,3,1.083608
0.001006,3,1.086112
0.0,4,1.089315
0.0,3,1.091779
-0.062541,5,1.096458
-0.282353,4,1.09978
0.173913,2,1.101737
-1.0,3,1.104333
0.0,2,1.10596
0.0,4,1.109798
0.0,3,1.112332
-0.18673,5,1.11634
0.231026,3,1.118778
-0.155507,3,1.121296
-0.607848,3,1.123831
-0.531741,5,1.127808
0.0,2,1.129554
0.0,3,1.131981
0.0,4,1.135375
-0.394051,4,1.138591
-0.674567,4,1.141812
0.0,2,1.143512
0.0,4,1.146732
0.0,3,1.149201
0.461022,3,1.151793
0.0,3,1.154714
-0.111355,3,1.157566
-1.0,3,1.160566
0.666123,5,1.164831
0.0,3,1.167212
-0.66877,2,1.168809
-0.896976,2,1.170374
0.716469,3,1.17277
0.0,4,1.17696
-1.0,2,1.178681
-1.0,3,1.181149
-0.784517,3,1.183513
0.0,3,1.185903
0.0,3,1.188346
-0.549848,3,1.190731
0.0,3,1.193135
0.0,2,1.194919
0.0,4,1.198603
-0.783872,3,1.201586
0.0,5,1.205946
-0.022889,4,1.209388
-0.638381,4,1.212949
0.0,3,1.215483
-0.535006,4,1.219035
0.129125,2,1.2209
0.0,2,1.222804
0.0,4,1.226698
0.0,3,1.229457
0.0,2,1.231426
0.0,3,1.234872
0.0,4,1.239259
-0.231882,2,1.241378
0.0,2,1.243057
0.0,2,1.244808
-0.25462,4,1.248621
0.0,2,1.250362
0.0,4,1.254081
-0.699076,2,1.255826
0.912858,3,1.25848
1.492403,2,1.260517
0.0,2,1.262303
0.0,4,1.265756
0.0,3,1.268666
-1.0,3,1.271271
0.0,4,1.274956
-0.654892,3,1.277642
-1.0,3,1.28041
0.0,4,1.283992
-1.0,4,1.287461
0.0,2,1.289279
0.007598,3,1.291896
-0.748463,4,1.295779
0.0,2,1.297599
-0.100805,3,1.300258
-0.316523,3,1.30321
0.0,4,1.306689
0.229811,3,1.30942
-1.0,3,1.31219
-1.0,3,1.314813
0.0,4,1.318302
-1.0,3,1.320844
-0.239791,2,1.322558
-1.0,3,1.325133
0.0,4,1.329927
0.0,4,1.333477
-0.141764,2,1.335531
-0.391823,4,1.339182
0.0,4,1.34272
-0.557344,3,1.345307
0.0,4,1.348879
-1.0,3,1.351467
-0.064235,3,1.354234
0.0,3,1.356793
0.0,4,1.36007
0.0,6,1.364964
0.0,2,1.366642
0.0,3,1.369251
1.5,2,1.370917
0.0,4,1.374294
0.83322,2,1.375982
0.0,3,1.378484
1.0,3,1.381083
-0.242734,4,1.384424
0.0,4,1.387724
0.0,4,1.391156
0.409742,2,1.392838
0.628137,4,1.396185
0.0,4,1.399497
-0.117984,2,1.401273
0.0,2,1.403014
0.0,2,1.404691
0.0,3,1.407223
0.0,4,1.410559
0.0,2,1.412214
-1.0,5,1.416398
0.0,2,1.418053
0.258874,2,1.419796
0.0,3,1.422295
0.0,3,1.424757
0.0,2,1.42643
-0.414968,6,1.431584
-0.715986,6,1.436554
0.0,3,1.439867
