#{"t_start": 1779972541.169826, "env_id": "Blackjack4game-v1"}
r,l,t
-0.346718,2,0.892361
0.0,2,0.894535
1.5,2,0.896992
-0.367394,3,0.900396
0.0,3,0.903463
-0.285045,3,0.906524
-0.921321,3,0.909286
0.0,3,0.912495
0.0,4,0.916142
0.0,2,0.91837
0.0,3,0.921074
0.0,4,0.925005
-0.467923,4,0.929433
-0.463643,3,0.932593
-0.783419,3,0.935699
-0.984392,2,0.937871
0.0,3,0.940876
0.0,2,0.942696
-0.339027,5,0.947822
-1.0,3,0.950833
0.0,4,0.955031
-0.703797,2,0.956896
0.0,3,0.960093
-0.451511,3,0.963286
-1.0,4,0.967943
0.0,3,0.971145
0.0,4,0.975138
-1.0,3,0.977929
0.419182,4,0.981668
-0.199729,3,0.984629
0.0,4,0.988213
-2.0,2,0.990042
1.5,2,0.991805
0.0,3,0.99495
-0.032261,2,0.997051
-0.084165,4,1.052932
1.5,2,1.054913
1.0,4,1.059066
-1.0,4,1.063082
0.0,3,1.066484
0.0,3,1.069671
-0.09649,5,1.074882
-1.0,2,1.165695
-0.191034,3,1.169815
0.0,3,1.17344
0.0,3,1.177347
0.0,4,1.181632
0.0,3,1.185528
-0.011731,5,1.191045
-0.226622,4,1.195051
0.118712,2,1.197578
-1.0,3,1.200345
0.0,2,1.203253
0.0,4,1.207928
0.0,3,1.210851
-0.182602,5,1.215831
0.18616,3,1.219322
-0.114438,3,1.222198
-0.534286,3,1.22551
-0.505588,5,1.231657
0.0,2,1.234434
0.0,3,1.238152
0.0,4,1.242093
-0.345965,4,1.246628
-0.648059,4,1.251542
0.0,2,1.254034
0.0,4,1.257919
0.0,3,1.260633
0.439318,3,1.263864
0.0,3,1.267112
-0.071216,3,1.270298
-1.0,3,1.273153
0.649017,5,1.277706
0.0,3,1.281097
-0.621523,2,1.283052
-0.825628,2,1.285193
0.643143,3,1.288761
0.0,4,1.292922
-1.0,2,1.295706
-1.0,3,1.298851
-0.712924,3,1.302433
0.0,3,1.305485
0.0,3,1.309339
-0.490934,3,1.312933
0.0,3,1.316639
0.0,2,1.319084
0.0,4,1.323622
-0.736538,3,1.326636
0.0,5,1.332086
0.0,4,1.336424
-0.577167,4,1.34092
0.0,3,1.344779
-0.486037,4,1.348781
0.084465,2,1.351105
0.0,2,1.353281
0.0,4,1.357697
0.0,3,1.360824
0.0,2,1.362851
0.0,3,1.366457
0.0,4,1.370877
-0.182254,2,1.373279
0.0,2,1.375109
0.0,2,1.377413
-0.228889,4,1.381905
0.0,2,1.38421
0.0,4,1.388544
-0.638179,2,1.39078
0.869237,3,1.394662
1.491154,2,1.39675
0.0,2,1.399445
0.0,4,1.40401
0.0,3,1.407921
-1.0,3,1.410734
0.0,4,1.41567
-0.599729,3,1.418845
-1.0,3,1.422397
0.0,4,1.426806
-1.0,4,1.431477
0.0,2,1.433926
0.0,3,1.437278
-0.685795,4,1.441535
0.0,2,1.443744
-0.04362,3,1.446887
-0.253921,3,1.450472
0.0,4,1.454749
0.172942,3,1.458054
-1.0,3,1.461167
-1.0,3,1.464503
0.0,4,1.468637
-1.0,3,1.47165
-0.174608,2,1.473621
-1.0,3,1.476984
0.0,4,1.481757
0.0,4,1.486473
-0.087519,2,1.488432
-0.339749,4,1.492664
0.0,4,1.496727
-0.510103,3,1.499967
0.0,4,1.504199
-1.0,3,1.507082
0.0,3,1.510148
0.0,3,1.513422
0.0,4,1.517784
0.0,6,1.524591
0.0,2,1.527509
0.0,3,1.532429
1.5,2,1.534974
0.0,4,1.539273
0.832154,2,1.54129
0.0,3,1.544145
1.0,3,1.547484
-0.192255,4,1.551536
0.0,4,1.555371
0.0,4,1.559246
0.344929,2,1.561348
0.592711,4,1.565721
0.0,4,1.569548
-0.05692,2,1.571508
0.0,2,1.573815
0.0,2,1.576013
0.0,3,1.579873
0.0,4,1.585689
0.0,2,1.589021
-1.0,5,1.595334
0.0,2,1.59776
0.214526,2,1.599864
0.0,4,1.604419
-0.35142,4,1.608337
-0.412484,4,1.612627
0.0,3,1.617537
0.276401,4,1.622214
-1.0,3,1.625481
-0.471919,3,1.628849
0.0,5,1.635204
0.0,4,1.639719
