#{"t_start": 1779719869.9808426, "env_id": "Blackjack4game-v1"}
r,l,t
0.0,2,13.486326
0.0,2,13.487951
0.0,4,13.49131
0.0,4,13.494706
0.0,3,13.497227
0.0,4,13.500938
-1.0,4,13.504355
0.0,5,13.508694
-1.0,4,13.512197
-0.592069,3,13.514739
-0.944491,3,13.517224
-1.0,6,13.522288
0.636082,3,13.524786
0.0,6,13.529777
0.0,3,13.532456
-1.0,2,13.534189
-0.410024,3,13.536753
0.0,3,13.539436
0.0,4,13.543214
0.0,4,13.547485
-0.232023,3,13.550394
0.0,3,13.553055
0.0,4,13.556355
0.0,3,13.55887
0.0,5,13.563004
-0.340337,4,13.566337
0.0,2,13.567993
-0.291251,3,13.570596
0.0,3,13.573157
0.0,5,13.577365
-0.380815,3,13.579929
-0.080802,4,13.583343
1.5,2,13.585016
-0.910591,3,13.587583
0.0,2,13.589345
0.0,2,13.591061
0.0,2,13.592768
-0.095073,3,13.595317
0.0,3,13.598059
0.0,5,13.602361
0.0,3,13.604912
-1.0,3,13.607467
0.0,3,13.610066
-1.0,3,13.613644
-0.253982,3,13.616716
0.0,5,13.621884
-0.715974,4,13.625488
-0.502665,4,13.629324
0.0,3,13.632398
-0.666911,4,13.636135
-0.44693,3,13.63879
1.0,2,13.64054
0.0,6,13.646863
0.0,3,13.650481
0.0,3,13.65331
0.690191,2,13.655596
0.0,4,13.66071
-0.002974,4,13.664516
-0.054932,3,13.667686
-0.035176,4,13.671821
0.0,3,13.67456
0.0,2,13.676245
-0.009046,3,13.678807
0.0,4,13.682195
-1.0,3,13.684767
0.0,4,13.688226
0.0,4,13.691666
0.0,5,13.695903
-0.72517,5,13.700213
0.0,2,13.702203
0.0,3,13.704839
1.0,2,13.706696
0.37441,3,13.709265
0.0,4,13.71263
0.0,6,13.717969
-0.56722,4,13.721406
-1.0,4,13.724871
0.0,4,13.728285
0.0,3,13.731132
-0.603889,2,13.732839
-1.0,4,13.736247
-0.190655,4,13.739612
-0.831917,4,13.742895
1.0,3,13.745348
-0.394502,3,13.747958
0.0,4,13.751264
-0.652377,3,13.753813
-1.0,4,13.757404
0.0,4,13.760845
-1.0,6,13.765783
1.288795,2,13.767595
-0.356746,4,13.771091
-0.358966,4,13.774389
0.816605,2,13.776021
0.0,3,13.778589
-0.889905,3,13.781131
-0.438622,3,13.783588
-0.023881,4,13.786757
-1.0,6,13.79179
-0.331642,4,13.795091
0.676414,4,13.798797
-0.233125,3,13.801947
-0.496597,4,13.805467
-0.510781,4,13.809101
0.0,3,13.811827
0.0,2,13.813596
0.0,4,13.816932
0.0,2,13.818614
-1.0,3,13.821208
0.0,2,13.822843
-0.958633,4,13.826212
-0.998428,3,13.828814
0.0,5,13.832855
0.0,3,13.835484
-0.613076,3,13.837925
-1.0,3,13.84051
0.0,4,13.843766
0.0,3,13.846408
-0.089584,3,13.848961
0.492507,2,13.850631
-0.55065,2,13.852291
0.0,3,13.854807
0.778966,4,13.8581
0.161115,3,13.860698
-0.879287,4,13.864062
0.0,4,13.867533
0.0,5,13.871827
-0.044615,4,13.875196
-1.0,2,13.876916
0.341341,3,13.879516
0.0,4,13.882895
-0.706172,5,13.88717
0.0,2,13.88888
0.0,3,13.891499
0.0,5,13.89566
0.0,3,13.898184
0.0,5,13.902455
0.0,6,13.907634
0.0,4,13.911097
0.0,5,13.915308
0.0,3,13.9179
0.0,3,13.920511
0.0,5,13.924748
0.485219,3,13.927376
0.0,2,13.929134
0.0,2,13.930864
0.0,5,13.935136
0.642257,4,13.938591
0.516682,2,13.940276
0.0,3,13.942747
-0.075115,3,13.945326
0.0,3,13.947812
-0.351988,4,13.951265
-1.0,4,13.95461
-0.5779,3,13.957093
-0.623906,3,13.959641
-0.003922,3,13.962215
-1.0,3,13.964814
1.0,5,13.969089
0.0,5,13.973275
-0.56445,3,13.975795
0.0,3,13.978462
-1.0,3,13.981072
-0.665171,6,13.986009
0.0,2,13.987752
0.0,3,13.99031
-1.0,4,13.993679
0.0,3,13.996294
0.0,3,13.998814
0.0,3,14.001438
-0.178585,3,14.004044
0.0,2,14.005723
-0.531892,3,14.008302
-0.183722,3,14.010862
-0.425592,3,14.013505
1.0,4,14.016932
0.0,3,14.019423
0.0,3,14.022118
-1.0,2,14.023808
0.0,3,14.026275
0.595188,2,14.02794
0.0,2,14.029676
-1.0,4,14.033054
-0.986817,6,14.038901
-0.536705,3,14.041709
-0.283432,5,14.045975
0.0,4,14.049359
0.529111,3,14.05185
-1.0,2,14.053558
0.0,2,14.055265
-1.0,4,14.058855
1.367973,2,14.060605
0.0,3,14.063155
0.0,2,14.064901
0.0,2,14.066577
-0.599285,3,14.069087
0.0,5,14.073203
-1.0,3,14.075717
-1.0,4,14.079122
0.0,2,14.080828
0.0,6,14.086092
-0.310248,2,14.087826
-0.471305,3,14.090404
-0.939172,4,14.093853
-0.451288,2,14.095648
-0.060452,4,14.09932
0.0,4,14.102682
0.0,4,14.106131
0.0,5,14.110275
0.0,2,14.112057
0.0,3,14.114595
0.0,3,14.11708
0.0,2,14.118839
0.037196,3,14.121399
0.0,4,14.124836
-0.232232,3,14.127421
0.0,4,14.130828
0.0,3,14.134032
-1.0,3,14.136996
0.0,2,14.13884
-0.256433,5,14.143152
0.0,2,14.144847
0.0,3,14.147402
1.5,2,14.149099
-0.14281,5,14.153258
-1.0,3,14.155941
0.0,2,14.157641
0.0,2,14.159401
0.0,3,14.161952
-1.0,2,14.163589
-0.825375,3,14.16613
-0.85961,3,14.168729
0.0,3,14.171218
0.0,3,14.173706
0.0,4,14.177092
0.605032,3,14.179667
0.0,5,14.183854
-0.265824,2,14.185661
0.0,6,14.19084
0.912552,2,14.192552
-1.0,5,14.196637
-0.501728,3,14.199181
0.0,3,14.201678
0.0,3,14.204375
-0.064781,6,14.209472
-1.0,3,14.211952
-0.321566,2,14.213649
0.0,2,14.21537
0.0,2,14.217069
-0.100012,5,14.221252
-0.587941,3,14.223783
-0.721578,4,14.227114
0.0,4,14.230666
0.0,3,14.233134
-0.506763,3,14.235684
-0.315828,3,14.238183
0.0,4,14.241421
0.262408,3,14.243855
0.0,7,14.24967
-0.145756,4,14.25301
0.0,2,14.254717
-1.0,3,14.257204
0.0,4,14.260574
-0.10601,4,14.263879
0.0,3,14.266414
-1.0,4,14.269691
0.0,3,14.272238
1.0,4,14.275563
0.0,5,14.279676
-0.033556,4,14.283011
0.0,3,14.285549
0.0,2,14.287239
0.0,3,14.289693
-0.737377,4,14.293008
-1.0,3,14.295567
0.0,3,14.298052
-1.0,3,14.300684
0.0,2,14.302406
-0.143842,3,14.304954
0.877595,5,14.309182
0.0,3,14.311692
-1.0,4,14.315054
0.0,4,14.3184
-0.795546,3,14.320934
-0.302494,3,14.323371
-0.263885,4,14.326717
-0.666524,2,14.328486
-1.0,4,14.331816
0.0,3,14.334383
-0.15774,3,14.336923
-0.384586,4,14.34046
0.0,2,14.342172
0.0,3,14.344693
-1.0,2,14.346356
-0.540134,4,14.34974
-0.03154,3,14.352206
0.0,3,14.354779
-0.933789,3,14.35723
-0.684161,4,14.360511
0.0,3,14.363114
-0.746451,3,14.365668
0.0,4,14.36915
0.0,2,14.370794
0.291265,2,14.37245
0.0,2,14.374135
0.0,4,14.377581
0.0,4,14.38101
-1.0,3,14.383615
-1.0,3,14.386079
-1.0,3,14.388639
0.0,4,14.392054
-0.183668,3,14.394628
-0.516846,4,14.398091
-0.787347,5,14.402252
-0.860951,4,14.405793
0.0,5,14.41
-0.601104,4,14.41346
0.0,3,14.415953
0.0,3,14.418491
0.0,3,14.420983
-0.451876,3,14.423501
0.0,4,14.426783
-1.0,3,14.429251
-1.0,3,14.431764
0.0,3,14.434283
0.0,4,14.437631
-0.775716,2,14.439316
0.0,4,14.44264
-0.981524,7,14.448631
-1.0,4,14.451958
-0.269484,5,14.45607
-1.841292,2,14.457799
0.0,2,14.459498
0.0,3,14.462047
0.0,3,14.464504
-1.0,3,14.466979
-0.476313,3,14.469542
0.0,4,14.472928
0.0,4,14.476266
-1.0,6,14.481378
0.0,3,14.483959
0.0,3,14.48645
0.0,3,14.488936
0.0,2,14.49062
0.0,4,14.493941
0.0,3,14.496609
0.0,3,14.499203
0.0,3,14.501743
-1.0,3,14.504371
0.0,4,14.507686
0.0,3,14.510277
0.0,2,14.511978
0.0,3,14.514516
-0.352024,4,14.517731
0.0,3,14.52023
0.0,2,14.521962
-0.573623,3,14.524618
0.0,4,14.527857
0.0,5,14.531903
0.0,2,14.533587
-0.141894,5,15.601613
0.0,4,15.605505
0.0,4,15.609495
0.0,5,15.613987
0.118056,2,15.615761
-0.527493,5,15.6201
-0.167791,3,15.62284
0.0,3,15.625474
-0.504603,6,15.630718
-0.163591,3,15.633326
-0.057255,3,15.636318
1.0,3,15.639029
0.0,4,15.642677
0.0,3,15.645413
0.0,2,15.647169
-0.335204,3,15.650018
0.0,2,15.651762
-0.030083,2,15.653525
0.0,3,15.656335
0.0,3,15.65903
-0.201623,2,15.66082
-0.145467,4,15.664594
0.0,3,15.667253
-0.552896,4,15.671132
-1.0,5,15.67559
0.0,3,15.678547
0.0,2,15.680313
0.0,3,15.68319
0.052874,3,15.685763
1.5,2,15.687418
0.0,3,15.690031
0.0,3,15.692735
0.0,5,15.697193
-1.0,3,15.699964
-0.689983,4,15.703426
0.0,3,15.706392
-0.032993,2,15.708396
-0.083419,3,15.711088
0.406364,4,15.71467
0.0,5,15.718997
0.0,4,15.722406
0.0,3,15.725184
1.316392,2,15.727029
0.0,3,15.72981
0.0,2,15.731575
0.0,3,15.734646
0.0,2,15.736578
1.0,2,15.738452
-0.685312,3,15.741271
-1.0,4,15.744579
-0.605281,5,15.749061
-0.601349,3,15.751524
-0.570159,3,15.75412
-0.148902,3,15.756683
0.0,4,15.760242
0.0,3,15.762988
-0.828226,2,15.764669
-1.0,4,15.768228
0.0,4,15.771455
-0.211378,5,15.775844
1.0,4,15.779314
0.0,2,15.781101
0.0,3,15.783756
-0.493332,5,15.788157
1.5,2,15.789932
0.216771,2,15.791624
0.522951,5,15.795916
-1.0,3,15.798611
0.0,4,15.801862
-0.120929,3,15.804777
-0.222248,3,15.807319
0.0,4,15.810905
0.0,3,15.813599
0.0,2,15.815308
0.0,4,15.81877
0.0,4,15.822292
0.0,3,15.825017
0.0,3,15.827444
0.0,2,15.829107
0.0,4,15.832427
-0.169108,2,15.834241
0.0,3,15.836689
0.432419,2,15.838418
0.0,2,15.840099
-0.788515,3,15.842492
0.0,2,15.844141
-0.068961,3,15.846763
0.0,4,15.849971
-0.6253,2,15.851594
-0.596747,3,15.854044
0.0,2,15.855803
0.0,2,15.857535
-0.234354,3,15.860113
-0.587489,3,15.862596
0.0,4,15.865841
-0.242106,5,15.869993
0.0,5,15.874147
0.0,4,15.877485
-0.324222,5,15.881919
0.0,3,15.884537
-1.0,3,15.887254
-0.521039,4,15.890584
-0.855788,2,15.89235
0.0,2,15.894019
0.0,2,15.895616
-0.901932,2,15.897214
-1.0,3,15.899736
0.0,4,15.903198
0.903393,4,15.906558
0.0,3,15.909278
0.776434,2,15.911119
-1.0,4,15.914567
0.0,4,15.917873
-1.0,4,15.921209
0.0,2,15.922941
-0.435976,3,15.925519
1.0,3,15.928146
0.359844,4,15.931513
-0.234765,2,15.933137
0.0,5,15.937374
0.0,2,15.939065
0.0,4,15.94257
0.0,3,15.945215
-0.746738,4,15.948571
-0.238595,4,15.952121
-1.0,2,15.953756
-1.0,3,15.956332
-0.350828,3,15.958885
-0.445479,3,15.961427
-0.637243,3,15.964075
0.0,4,15.96749
0.0,4,15.971036
0.0,3,15.973676
0.0,2,15.975441
0.0,3,15.97801
-0.475312,4,15.981459
0.0,4,15.984784
0.0,4,15.988085
0.0,3,15.990596
0.0,5,15.994809
-0.029732,2,15.996413
0.0,4,15.999718
0.0,4,16.003111
-0.701974,3,16.005979
0.0,3,16.008711
0.383025,2,16.010577
0.0,4,16.013979
0.0,3,16.016612
0.0,3,16.019264
0.0,4,16.022723
0.562183,2,16.024437
0.0,2,16.026347
0.0,4,16.029836
-0.939984,4,16.033364
