#{"t_start": 1779974866.181302, "env_id": "Blackjack4game-v1"}
r,l,t
-0.346718,2,0.910864
0.0,2,0.91275
1.5,2,0.914645
-0.367394,3,0.917506
0.0,3,0.920242
-0.285045,3,0.923216
-0.921321,3,0.926076
0.0,3,0.92889
0.0,4,0.932667
0.0,2,0.934625
0.0,3,0.937509
0.0,4,0.941168
-0.467923,4,0.945018
-0.463643,3,0.948013
-0.783419,3,0.95083
-0.984392,2,0.952807
0.0,3,0.955583
0.0,2,0.957484
-0.339027,5,0.962158
-1.0,3,0.965039
0.0,4,0.968728
-0.703797,2,0.970654
0.0,3,0.973455
-0.451511,3,0.976174
-1.0,4,0.979956
0.0,3,0.982717
0.0,4,0.986749
-1.0,3,0.989603
0.419182,4,0.993372
-0.199729,3,0.996172
0.0,4,0.999778
-2.0,2,1.001904
1.5,2,1.003774
0.0,3,1.006608
-0.032261,2,1.008707
-0.084165,4,1.059546
1.5,2,1.061631
1.0,4,1.065376
-1.0,4,1.069327
0.0,3,1.072881
0.0,3,1.076304
-0.09649,5,1.081675
-1.0,2,1.174454
-0.191178,3,1.177994
0.0,3,1.181128
0.0,3,1.183824
0.0,4,1.187397
0.0,3,1.190034
-0.011831,5,1.194436
-0.226837,4,1.198414
0.119043,2,1.20027
-1.0,3,1.202847
0.0,2,1.204548
0.0,4,1.208346
0.0,3,1.211115
-0.182733,5,1.215552
0.186401,3,1.218152
-0.114648,3,1.221214
-0.534896,3,1.224049
-0.5061,5,1.22836
0.0,2,1.230112
0.0,3,1.232669
0.0,4,1.236408
-0.34647,4,1.23982
-0.648659,4,1.243592
0.0,2,1.245607
0.0,4,1.249293
0.0,3,1.25189
0.439572,3,1.254532
0.0,3,1.257167
-0.071331,3,1.259709
-1.0,3,1.262433
0.649546,5,1.2669
0.0,3,1.269544
-0.622006,2,1.271242
-0.826486,2,1.272902
0.643834,3,1.275629
0.0,4,1.279252
-1.0,2,1.280977
-1.0,3,1.283948
-0.713699,3,1.287046
0.0,3,1.28998
0.0,3,1.292783
-0.491372,3,1.295488
0.0,3,1.298174
0.0,2,1.300035
0.0,4,1.303882
-0.737123,3,1.306793
0.0,5,1.311251
0.0,4,1.314697
-0.577739,4,1.318398
0.0,3,1.321256
-0.486392,4,1.324785
0.084483,2,1.326637
0.0,2,1.328438
0.0,4,1.331987
0.0,3,1.334764
0.0,2,1.336577
0.0,3,1.339369
0.0,4,1.34318
-0.18248,2,1.345138
0.0,2,1.346967
0.0,2,1.34925
-0.229138,4,1.35393
0.0,2,1.356221
0.0,4,1.359842
-0.638854,2,1.361523
0.869945,3,1.364166
1.492333,2,1.365885
0.0,2,1.367827
0.0,4,1.372077
0.0,3,1.374995
-1.0,3,1.377666
0.0,4,1.381416
-0.6003,3,1.384263
-1.0,3,1.387295
0.0,4,1.390936
-1.0,4,1.394612
0.0,2,1.396655
0.0,3,1.39943
-0.686399,4,1.403577
0.0,2,1.405598
-0.043659,3,1.408387
-0.254268,3,1.411062
0.0,4,1.415094
0.173353,3,1.4178
-1.0,3,1.420581
-1.0,3,1.423357
0.0,4,1.427096
-1.0,3,1.430104
-0.17498,2,1.432607
-1.0,3,1.435788
0.0,4,1.439315
0.0,4,1.442997
-0.087661,2,1.444945
-0.340021,4,1.448734
0.0,4,1.452174
-0.510673,3,1.454694
0.0,4,1.458075
-1.0,3,1.460722
0.0,3,1.463449
0.0,3,1.466332
0.0,4,1.469808
0.0,6,1.474821
0.0,2,1.476577
0.0,3,1.479216
1.5,2,1.480887
0.0,4,1.484375
0.832831,2,1.48631
0.0,3,1.488885
1.0,3,1.491555
-0.192651,4,1.495143
0.0,4,1.498575
0.0,4,1.502043
0.345428,2,1.503827
0.593176,4,1.507448
0.0,4,1.510851
-0.057147,2,1.512579
0.0,2,1.514342
0.0,2,1.516072
0.0,3,1.51865
