#{"t_start": 1779970271.8015378, "env_id": "Blackjack4game-v1"}
r,l,t
-0.73236,4,2.000635
-0.346718,2,2.002647
0.0,2,2.004453
1.5,2,2.006185
-0.367394,3,2.009014
0.0,3,2.011747
-0.285045,3,2.014481
-0.921321,3,2.017701
0.0,3,2.020573
0.0,4,2.024277
0.0,2,2.026371
0.0,3,2.029176
0.0,4,2.032578
-0.467923,4,2.036181
-0.463643,3,2.03877
-0.783419,3,2.041337
-0.984392,2,2.043102
0.0,3,2.045678
0.0,2,2.04734
-0.339027,5,2.051764
-1.0,3,2.05425
0.0,4,2.057842
-0.703797,2,2.059576
0.0,3,2.062141
-0.451511,3,2.064853
-1.0,4,2.068135
0.0,3,2.071267
0.0,4,2.074726
-1.0,3,2.077354
0.419182,4,2.080718
-0.199729,3,2.083346
0.0,4,2.086724
-2.0,2,2.0885
1.5,2,2.090205
0.0,3,2.092805
-0.032261,2,2.094516
-0.084165,4,2.140985
1.5,2,2.142859
1.0,4,2.146533
-1.0,4,2.150157
0.0,3,2.152795
0.0,3,2.155723
-0.09649,5,2.160163
-1.0,2,2.455564
-0.105087,3,2.458868
0.0,3,2.462226
0.0,3,2.465035
0.0,4,2.469055
0.0,3,2.471761
0.0,5,2.476703
-0.11843,4,2.480295
0.038652,2,2.482495
-1.0,3,2.485291
0.0,2,2.4871
0.0,4,2.491125
0.0,3,2.493833
-0.174606,5,2.49876
0.116212,3,2.501658
-0.079089,3,2.50466
-0.398964,3,2.507445
-0.434114,5,2.512492
0.0,2,2.514521
0.0,3,2.517948
0.0,4,2.52205
-0.282691,4,2.526396
-0.64935,4,2.530862
0.0,2,2.533317
0.0,4,2.537567
0.0,3,2.541056
0.383113,3,2.544243
0.0,3,2.54748
-0.016353,3,2.550355
-0.928351,3,2.553402
0.607026,5,2.55844
0.0,3,2.561668
-0.539827,2,2.563649
-0.706456,2,2.565577
0.50813,3,2.568508
0.0,4,2.572541
-1.0,2,2.574549
-1.0,3,2.577336
-0.593433,3,2.580352
0.0,3,2.583224
0.0,3,2.586163
-0.378603,3,2.58933
0.0,3,2.592232
0.0,2,2.594471
0.0,4,2.598364
-0.66444,3,2.601701
0.0,5,2.606692
0.0,4,2.610896
-0.467594,4,2.615058
0.0,3,2.617938
-0.413431,4,2.621894
0.010663,2,2.624215
0.0,2,2.62624
0.0,4,2.630409
0.0,3,2.633335
0.0,2,2.635307
0.0,3,2.638375
0.0,4,2.642
-0.103955,2,2.644006
0.0,2,2.645746
0.0,2,2.647613
-0.176881,4,2.651205
0.0,2,2.652926
0.0,4,2.656615
-0.523782,2,2.658363
0.807145,3,2.661083
1.5,2,2.663059
0.0,2,2.664923
0.0,4,2.66842
0.0,3,2.671214
-1.0,3,2.673834
0.0,4,2.677625
-0.496499,3,2.680243
-1.0,3,2.68293
0.0,4,2.686445
-1.0,4,2.690024
0.0,2,2.691966
0.0,3,2.694571
-0.584462,4,2.698378
0.0,2,2.700399
0.0,3,2.70317
-0.131281,3,2.706213
0.0,4,2.709748
0.082662,3,2.712648
-1.0,3,2.715616
-1.0,3,2.718549
0.0,4,2.722466
-1.0,3,2.725281
-0.095108,2,2.727201
1.0,3,2.730363
0.0,4,2.733979
0.0,4,2.737539
-0.005874,2,2.739511
-0.253734,4,2.743079
0.0,4,2.746618
-0.442442,3,2.749249
0.0,4,2.752757
-0.995483,3,2.755767
0.0,3,2.75857
0.0,3,2.761318
0.0,4,2.764838
0.0,6,2.770161
0.0,2,2.771868
0.0,3,2.774503
1.5,2,2.776243
0.0,4,2.77986
0.829165,2,2.781811
0.0,3,2.784552
1.0,3,2.78725
-0.138392,4,2.791528
0.0,4,2.795377
0.0,4,2.798753
0.218358,2,2.800642
0.5528,4,2.804491
0.0,4,2.808019
0.0,2,2.809948
0.0,2,2.812065
0.0,2,2.813942
0.0,3,2.816884
0.0,4,2.820431
0.0,2,2.822476
-1.0,5,2.827203
0.0,2,2.829219
0.122108,2,2.83125
0.0,4,2.834795
-0.26873,4,2.838498
-0.405138,4,2.84204
0.0,3,2.844846
0.155674,4,2.848472
-0.927436,3,2.851502
-0.390576,3,2.854352
0.0,5,2.858868
0.0,4,2.862479
-1.0,3,2.865391
0.0,4,2.869024
0.0,4,2.87276
0.0,3,2.875624
-0.720169,3,2.878486
0.0,5,2.882907
0.0,2,2.884847
0.0,3,2.887759
0.0,2,2.889531
0.0,5,2.894213
0.0,3,2.896923
0.0,4,2.900629
-1.0,3,2.903343
0.0,4,2.907054
0.0,4,2.910897
0.0,5,2.915484
0.0,3,2.91822
-0.139666,2,2.919924
0.613372,2,2.921832
-0.063146,5,2.926505
0.0,5,2.931038
0.0,3,2.933827
0.0,3,2.936677
0.570012,2,2.938445
-0.479475,2,2.940447
0.0,2,2.942501
0.332219,3,2.945069
0.0,4,2.94869
0.0,4,2.952286
0.0,4,2.955977
0.0,3,2.959116
0.0,2,2.961043
0.313638,3,2.963856
-0.795015,3,2.966587
-0.207151,6,2.971982
0.856657,3,2.974726
0.0,4,2.978403
-0.928422,4,2.9821
0.0,2,2.984062
0.0,2,2.985937
-0.047933,4,2.98953
1.5,2,2.991439
0.0,3,2.994166
-0.211987,3,2.996876
0.0,3,2.999752
0.0,4,3.003368
0.0,3,3.006347
0.0,2,3.008203
0.359277,4,3.011831
0.0,3,3.01464
-0.618145,3,3.018939
0.0,2,3.022019
0.722855,5,3.026912
0.0,3,3.029905
-0.14862,5,3.034428
0.0,5,3.038815
0.0,2,3.040827
0.0,5,3.045458
0.0,4,3.04918
0.0,2,3.050982
-0.457885,4,3.054506
0.0,2,3.05639
0.0,5,3.060808
0.0,3,3.06355
-0.379978,4,3.067282
-0.784074,5,3.071784
0.0,2,3.073642
0.0,3,3.07641
0.0,3,3.07909
-0.898048,3,3.081758
0.0,4,3.085323
0.0,3,3.088115
0.0,3,3.09082
0.219113,3,3.093491
0.0,3,3.096518
0.0,6,3.101645
0.0,2,3.103661
-1.0,3,3.106399
0.0,4,3.110145
0.0,3,3.112765
-1.0,3,3.115442
0.257167,2,3.11745
0.0,3,3.120169
0.0,3,3.12307
0.0,3,3.125804
0.161894,2,3.12761
0.0,3,3.130476
-0.843751,5,3.135093
0.0,3,3.137966
0.0,4,3.141236
-0.575875,2,3.143085
0.0,3,3.146018
0.0,5,3.150576
0.0,3,3.153323
0.530506,3,3.155993
0.0,2,3.157949
0.92726,2,3.159863
1.0,2,3.161729
0.0,3,3.1645
0.706502,3,3.167223
0.0,3,3.169859
0.0,3,3.172832
0.0,3,3.175678
0.639992,3,3.178545
0.0,4,3.182357
0.104572,3,3.185492
0.0,3,3.188374
0.0,3,3.191035
0.0,2,3.192867
0.0,6,3.198116
0.0,4,3.201811
-0.046097,4,3.20529
0.0,4,3.208825
1.5,2,3.210563
-0.112388,5,3.214941
0.0,4,3.218368
-0.164577,2,3.220216
0.0,3,3.222977
-0.172529,2,3.224769
0.0,2,3.226622
0.0,4,3.23064
-0.027032,5,3.235336
0.0,3,3.238526
-1.0,3,3.241621
0.643575,2,3.243434
1.0,3,3.246024
0.0,4,3.250118
0.0,2,3.251959
0.0,3,3.254812
0.0,3,3.257905
0.0,3,3.260559
0.0,2,3.262624
0.0,3,3.265314
0.0,3,3.268022
-1.0,4,3.271897
0.070046,4,3.275562
0.0,2,3.277327
0.0,2,3.279271
-1.0,4,3.282899
0.0,4,3.286564
0.0,4,3.290091
-0.143412,4,3.294308
-0.433824,2,3.296319
0.0,3,3.299268
-0.060503,3,3.301846
-0.573967,4,3.305747
-0.244741,4,3.309252
-0.182617,2,3.311208
0.0,2,3.313152
0.0,2,3.314888
0.0,5,3.319775
0.0,3,3.322466
0.0,2,3.324312
0.0,4,3.328104
0.0,5,3.332535
-0.747729,4,3.336248
0.689617,2,3.338132
-0.252893,3,3.340803
-0.882534,3,3.343422
0.0,2,3.345254
-0.89544,3,3.347857
0.0,6,3.353064
0.0,3,3.355684
0.396401,4,3.359154
-0.71637,3,3.361687
-0.285705,4,3.365033
-0.552715,4,3.368579
0.0,3,3.371193
-1.0,5,3.375412
1.5,2,3.422525
0.0,3,3.425202
0.0,3,3.427903
-0.094025,3,3.430609
0.0,3,3.433188
-0.404353,3,3.435731
-0.935155,4,3.439003
0.0,3,3.441617
0.0,5,3.445687
0.0,2,3.447315
0.56155,4,3.450776
0.0,3,3.453437
0.0,4,3.457814
0.0,3,3.460556
0.0,4,3.542997
0.898641,4,3.547384
0.0,3,3.550525
0.0,4,3.554494
0.0,2,3.556706
-0.513167,3,3.560137
0.0,4,3.564575
-0.424565,2,3.566457
0.0,4,3.57131
0.0,4,3.575322
-1.0,6,3.580704
0.0,2,3.582958
-0.221332,2,3.585138
-0.678533,3,3.587991
-1.0,4,3.592157
-0.122068,3,3.595113
0.0,4,3.598947
0.0,4,3.602625
0.0,2,3.604457
0.0,2,3.606173
1.0,4,3.609849
0.0,5,3.614165
-0.215334,3,3.616719
0.0,3,3.619272
-0.202426,2,3.620855
-0.244611,3,3.623523
0.951169,2,3.625325
0.0,3,3.627959
-0.021171,4,3.631577
-1.0,5,3.63563
-0.344048,3,3.638417
-0.370484,4,3.641754
0.0,5,3.64632
0.0,5,3.651159
0.0,3,3.654297
0.0,3,3.657048
0.0,3,3.659819
0.0,3,3.662277
0.0,4,3.665661
0.0,2,3.667361
1.011944,2,3.669192
-0.739499,3,3.672147
-1.0,2,3.67381
0.0,2,3.675615
0.0,2,3.677449
0.0,3,3.680199
0.0,4,3.683445
0.0,5,3.68763
0.0,3,3.690071
0.0,3,3.692692
0.0,2,3.694418
-1.0,3,3.696839
0.0,3,3.69945
-0.991962,5,3.703589
0.396472,3,3.706165
0.0,4,3.70955
0.0,2,3.711225
-1.0,3,3.713852
0.0,3,3.716427
0.0,4,3.719761
0.0,4,3.723103
-1.0,4,3.726325
0.0,2,3.728239
0.109602,2,3.729901
0.0,4,3.733212
0.0,3,3.736002
-1.0,2,3.737662
1.813252,2,3.739348
0.0,3,3.742048
-0.534712,3,3.744524
0.0,4,3.74785
0.0,4,3.751185
0.0,2,3.752841
0.0,5,3.757153
-0.666362,3,3.759687
0.0,5,3.764006
-0.270977,4,3.76731
-0.928806,3,3.769982
0.0,4,3.77319
-0.658172,4,3.776608
0.0,2,3.778247
0.0,3,3.780612
0.0,3,3.783373
-0.244409,3,3.785835
0.0,3,3.788207
-0.207719,4,3.791695
0.0,5,3.795655
-0.684604,4,3.799111
0.0,3,3.801472
-1.0,5,3.80569
0.0,3,3.808128
-0.347581,3,3.810771
0.0,4,3.814162
0.0,3,3.816596
-1.0,3,3.819232
-0.969439,4,3.822405
0.0,2,3.824087
0.0,3,3.826679
0.0,3,3.829116
0.0,3,3.831768
0.0,4,3.83511
0.0,4,3.838454
0.0,2,3.840341
0.0,4,3.843588
1.461325,2,3.845343
0.0,4,3.848845
1.5,2,3.850462
0.0,3,3.852953
0.0,2,3.854821
0.0,2,3.856766
0.0,2,3.85855
0.0,3,3.86217
0.0,2,3.864281
0.0,3,3.867174
-0.305925,3,3.86992
-0.82948,5,3.874654
0.0,4,3.878467
0.0,3,3.882067
0.0,3,3.885435
2.0,2,3.88774
0.0,2,3.889603
1.0,3,3.892806
0.0,4,3.896724
1.5,2,3.89897
0.0,4,3.902971
0.0,3,3.906434
-1.0,4,3.91071
0.0,3,3.913778
0.0,2,3.916035
0.0,5,3.921161
-0.95153,3,3.924051
0.0,2,3.926145
-0.970272,5,3.931073
0.0,3,3.9342
0.0,3,3.937425
0.0,2,3.939153
0.0,3,3.942719
0.0,3,3.945735
-1.0,2,3.948171
-0.746364,2,3.95038
0.0,3,3.953202
0.0,2,3.95494
-0.18591,4,3.959217
-1.0,4,3.963076
0.0,4,3.967006
0.0,3,3.96982
0.0,3,3.972919
-0.578247,3,3.976769
-0.13826,4,3.982095
0.249889,3,3.984779
1.0,3,3.987321
-1.0,3,3.989933
1.5,2,3.991891
0.0,3,3.994453
0.0,4,3.997919
0.0,4,4.001618
0.0,5,4.006089
0.0,3,4.008537
0.0,4,4.011942
-1.0,4,4.015443
0.0,4,4.019034
0.0,4,4.022473
-1.0,5,4.026731
0.0,3,4.029175
0.0,2,4.030881
0.545118,2,4.032527
-0.476211,2,4.034249
-0.502685,4,4.037572
0.0,3,4.040048
0.0,6,4.045126
0.0,4,4.048529
1.0,2,4.050245
0.0,2,4.052038
0.0,3,4.054585
0.0,3,4.057155
0.0,3,4.059736
0.0,3,4.062349
0.0,2,4.064011
0.0,2,4.065773
0.0,4,4.069273
0.0,2,4.071165
0.0,3,4.073807
0.314596,2,4.075654
0.0,2,4.077384
0.0,3,4.080373
0.698732,2,4.082252
-0.516742,4,4.085758
0.0,4,4.089506
-0.862343,6,4.094947
0.0,3,4.097701
0.0,3,4.100496
0.0,3,4.103276
0.565849,3,4.105903
0.0,3,4.108659
0.0,3,4.111486
0.0,4,4.115205
1.0,4,4.118759
0.0,4,4.12229
1.0,4,4.125879
0.032037,4,4.129917
0.0,6,4.136257
0.0,3,4.139038
0.0,3,4.141789
-1.0,4,4.145414
0.0,3,4.148167
-0.11527,2,4.150005
-0.141415,4,4.153573
1.0,3,4.156454
0.0,4,4.160037
-1.0,3,4.162836
0.0,2,4.164598
-0.961509,4,4.168134
0.0,4,4.17177
-0.415423,4,4.175378
0.0,4,4.179057
0.0,4,4.182609
0.0,5,4.187182
0.0,2,4.188983
0.0,3,4.191691
1.0,3,4.194614
-0.117212,3,4.197739
0.0,2,4.200284
0.0,2,4.202559
0.0,3,4.205795
-0.099401,2,4.208209
0.381221,3,4.211844
0.0,3,4.215811
-0.030402,4,4.220322
0.0,4,4.22528
0.0,5,4.231972
0.0,3,4.236122
0.0,3,4.241236
0.0,3,4.245239
-0.741387,5,4.251657
0.0,5,4.258774
-0.503325,2,4.261777
-0.773021,4,4.268823
0.0,2,4.272549
-1.155659,2,4.276581
-0.848541,5,4.286128
0.0,2,4.288803
0.0,2,4.291593
0.0,2,4.294743
0.0,2,4.297074
0.0,2,4.299103
0.0,4,4.302827
-0.326778,2,4.304584
0.0,3,4.307543
0.0,2,4.309408
-2.0,2,4.311244
0.0,3,4.314037
-1.0,3,4.316845
0.0,3,4.31984
0.0,2,4.321756
0.0,3,4.324557
-1.0,2,4.326542
0.0,3,4.329408
0.0,4,4.332989
0.0,4,4.336832
0.0,3,4.339726
0.0,3,4.342704
0.0,4,4.346352
0.0,3,4.349273
0.0,3,4.352257
0.0,2,4.354249
0.0,4,4.358115
-0.349831,4,4.362022
-0.402389,2,4.363958
-1.0,3,4.366823
0.0,4,4.37083
-0.030133,3,4.373754
0.0,2,4.375968
0.0,4,4.379867
0.0,5,4.384692
0.0,3,4.387611
-0.800963,3,4.390648
0.0,3,4.393419
0.0,3,4.396415
0.557192,2,4.39834
0.0,4,4.402287
0.0,3,4.405305
-0.375074,2,4.407405
-0.142663,3,4.410458
0.0,3,4.413319
0.0,2,4.415266
-0.350205,2,4.417488
-0.003999,4,4.421353
0.835317,2,4.423342
-0.028874,4,4.427309
1.0,2,4.42937
0.0,5,4.434435
0.0,3,4.437449
-0.055587,2,4.439593
0.0,3,4.442504
0.0,4,4.446313
-0.355582,4,4.450282
-0.579871,3,4.453448
-0.205299,5,4.458278
-0.261315,7,4.509615
1.0,3,4.512581
0.0,3,4.515359
-0.008941,3,4.518759
0.0,2,4.520805
-1.0,3,4.523971
0.0,2,4.526192
0.0,3,4.529422
0.0,3,4.53251
-0.623339,3,4.535602
0.0,5,4.540633
-0.284524,2,4.54274
0.0,2,4.544994
-0.188004,4,4.549157
1.0,2,4.551438
-0.601257,3,4.554589
0.0,3,4.557557
1.0,2,4.559774
0.0,3,4.56286
0.0,2,4.564985
0.0,2,4.567168
0.124865,2,4.569263
0.0,3,4.572544
0.0,3,4.575756
0.0,5,4.669016
0.0,2,4.671362
0.0,2,4.673618
0.0,3,4.67707
0.0,4,4.681681
0.0,3,4.684765
0.0,4,4.689374
0.0,3,4.692741
-0.195935,3,4.696118
-0.939949,4,4.700259
-0.901905,3,4.703597
0.0,3,4.706999
-1.0,3,4.710181
0.0,3,4.713153
0.0,3,4.716565
0.0,2,4.718724
-1.0,5,4.724376
-0.808167,2,4.726345
0.0,4,4.730867
-1.0,3,4.734599
-0.067428,4,4.740018
-0.520136,3,4.743978
-0.057623,3,4.74812
0.0,3,4.752478
-0.965742,5,4.757891
0.0,6,4.765885
0.0,3,4.770157
0.0,4,4.777521
0.0,3,4.78324
-0.167657,2,4.787067
0.0,3,4.792935
-1.0,3,4.796882
-0.248117,3,4.800311
0.0,3,4.803585
0.0,2,4.805889
-0.740607,3,4.80972
0.0,3,4.813689
0.0,3,4.81749
0.0,3,4.821575
-1.0,2,4.824143
0.0,2,4.826617
-0.795307,2,4.829396
-0.148411,6,4.836368
0.0,4,4.840721
0.0,2,4.8429
0.0,4,4.847953
-0.189286,2,4.850358
0.0,4,4.854802
0.0,4,4.859196
0.0,2,4.861511
-0.355312,2,4.863821
-0.883073,2,4.865928
-0.039853,4,4.870495
0.0,4,4.874747
0.181149,3,4.878061
0.0,2,4.880258
0.0,3,4.883896
0.0,3,4.887275
-1.0,3,4.890679
0.0,2,4.892819
0.0,4,4.897391
0.704595,2,4.899538
0.0,2,4.901949
-1.0,5,4.907457
0.0,2,4.909723
-0.49392,4,4.91425
0.0,2,4.916574
0.0,3,4.920099
0.0,2,4.922418
0.354016,2,4.924639
0.0,2,4.927394
-0.688725,2,4.929808
0.0,2,4.932105
0.0,2,4.934441
0.0,2,4.936847
0.93546,2,4.9393
0.0,4,4.944164
0.091177,2,4.946864
-1.0,2,4.948981
-0.481132,3,4.952398
0.0,5,4.958525
0.0,3,4.962175
0.0,2,4.964371
0.0,3,4.967627
0.0,4,4.971798
0.0,3,4.975638
0.0,2,4.977876
0.0,3,4.981396
-0.503405,5,4.986776
-0.41789,2,4.98907
0.0,2,4.991054
0.0,4,4.995581
0.0,4,4.999626
0.0,2,5.001984
0.0,3,5.005149
-1.0,3,5.008605
0.0,4,5.012824
0.0,3,5.016406
0.0,4,5.020784
-0.440044,4,5.025093
0.0,3,5.028473
0.0,3,5.031836
0.0,3,5.035127
0.0,3,5.038496
1.0,2,5.04067
-0.810066,3,5.044071
0.0,2,5.046083
1.5,2,5.048247
