#{"t_start": 1779788001.6547735, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,2.546774
0.0,4,2.551318
-0.783202,3,2.554739
0.0,3,2.558248
-0.284549,2,2.560393
-0.644291,3,2.563684
0.0,4,2.568055
0.0,4,2.57269
-0.157082,3,2.576086
0.0,3,2.579537
-0.960643,3,2.582633
-0.145983,3,2.58596
0.0,4,2.590104
0.0,3,2.593315
0.0,3,2.596494
0.0,3,2.599778
0.0,2,2.60199
-1.0,2,2.604132
0.0,5,2.60935
0.014399,3,2.612476
0.0,4,2.616451
0.0,2,2.61843
-0.576105,3,2.621516
0.0,3,2.624787
-0.145144,3,2.628049
0.0,2,2.630146
-1.0,4,2.634446
0.0,5,2.639781
0.168106,3,2.643033
-1.0,2,2.645068
0.207401,3,2.64869
-1.0,3,2.652132
-0.842331,6,2.658401
-0.283089,4,2.662371
0.0,3,2.665499
-0.259219,4,2.669675
0.0,2,2.671762
0.0,4,2.6758
-0.344375,4,2.679736
0.0,4,2.68393
-0.900502,3,2.686916
0.0,2,2.688992
0.0,3,2.69194
-1.0,3,2.695033
-0.487835,5,2.70007
0.019662,4,2.704152
-0.284041,4,2.708302
0.0,2,2.710639
0.837772,2,2.712766
0.0,3,2.715954
0.0,4,2.719993
0.0,3,2.723127
0.315098,2,2.725302
0.0,4,2.729401
0.0,4,2.733705
-1.0,3,2.736896
0.0,4,2.741125
0.854081,3,2.744371
0.0,3,2.748019
-1.0,2,2.750029
0.0,2,2.752208
0.989633,5,2.757225
-0.237012,4,2.761716
0.0,3,2.764928
0.0,4,2.769177
0.0,3,2.772259
-1.0,4,2.776617
0.0,4,2.780723
-1.0,3,2.783877
-0.363114,3,2.787045
0.0,3,2.790177
1.0,3,2.793378
-1.0,3,2.796532
-0.63417,4,2.800693
-0.697959,3,2.803661
0.699942,3,2.806816
0.561858,2,2.808802
0.0,4,2.812741
-0.016091,4,2.816572
0.0,3,2.819527
0.0,3,2.823057
0.0,2,2.825488
0.0,3,2.829459
-0.520156,4,2.833988
-0.630214,2,2.83625
-0.267983,4,2.840527
0.0,4,2.845259
-1.0,3,2.848547
-1.0,3,2.851862
0.0,2,2.853942
-1.0,2,2.856158
1.5,2,2.858332
0.0,2,2.860481
0.0,3,2.864029
-1.0,3,2.867326
-0.544687,5,2.872373
0.0,3,2.875901
0.0,2,2.878111
-0.256514,3,2.881277
0.0,2,2.883384
1.0,2,2.885581
-1.0,4,2.889621
0.0,4,2.893781
-0.433508,3,2.896866
0.0,4,2.901078
-0.272079,2,2.903143
-1.0,4,2.9073
0.693933,2,2.909403
0.0,3,2.912539
-1.0,4,2.916514
0.0,4,2.920499
0.0,2,2.922539
-0.41321,5,2.927557
0.0,4,2.93166
0.0,3,2.934703
0.0,4,2.938862
-0.517808,3,2.942082
-1.0,3,2.945919
-0.494544,3,2.9496
0.0,3,2.952782
0.0,4,2.956965
-1.0,2,2.958947
-0.054895,3,2.96244
0.351376,3,2.965515
-0.160767,3,2.968762
0.0,2,2.97088
-0.29416,3,2.973887
0.0,3,2.977127
-0.145363,3,2.980212
-1.0,2,2.982412
-0.784255,5,2.98771
0.0,5,2.993062
0.0,3,2.996417
0.0,3,2.999668
-0.707264,3,3.003012
0.0,3,3.006298
0.0,7,3.01381
0.0,3,3.017123
0.0,4,3.02125
-0.027423,5,3.026764
0.0,5,3.03213
0.0,2,3.034333
-0.650081,4,3.038753
1.0,4,3.042978
0.0,3,3.047003
-1.0,2,3.049273
-0.950639,2,3.051867
0.0,3,3.055202
-0.682499,4,3.05979
-0.825216,6,3.066203
-0.277786,4,3.070469
0.0,4,3.074815
-1.304706,2,3.077019
-1.0,3,3.080519
0.159394,3,3.083814
-0.877277,4,3.08827
-0.337458,3,3.091567
-0.815063,4,3.095847
-0.321576,3,3.099118
0.0,2,3.101289
0.0,3,3.104416
0.0,3,3.107853
0.0,6,3.114191
-0.67713,2,3.116359
-1.0,3,3.119627
0.08511,3,3.122961
-0.780737,5,3.128942
0.0,5,3.134401
0.0,2,3.136611
-0.638373,4,3.141026
1.5,2,3.143432
0.0,5,3.148834
0.0,2,3.151777
0.0,4,3.156451
-1.0,4,3.161026
0.0,4,3.1656
0.0,4,3.170042
0.0,4,3.174302
0.0,4,3.178809
0.0,4,3.183332
-1.0,6,3.189867
0.0,2,3.192138
-0.599458,4,3.196673
0.412489,3,3.199987
0.0,3,3.203307
-0.815485,2,3.205649
-0.700638,3,3.208803
0.0,3,3.212145
0.0,4,3.216292
0.0,4,3.220788
-0.01389,3,3.2242
0.0,3,3.227584
0.0,3,3.230856
0.0,3,3.234254
-0.001895,6,3.240697
0.0,5,3.246177
0.0,6,3.253317
0.0,5,3.258407
-1.0,5,3.263595
0.0,2,3.265805
0.0,4,3.270116
1.0,2,3.272367
0.0,3,3.275662
1.0,3,3.278766
-1.0,3,3.282113
-1.0,4,3.286145
1.0,4,3.290375
0.0,4,3.294548
-0.240238,3,3.297604
-0.843537,4,3.301833
0.0,2,3.303994
-0.318862,4,3.308235
-0.280249,4,3.312294
0.0,3,3.315582
-0.046749,5,3.320456
-0.431043,4,3.324686
1.5,2,3.326762
-1.0,5,3.331976
0.0,2,3.334049
-0.265796,3,3.337285
0.0,2,3.339329
0.0,4,3.343482
0.0,3,3.347486
0.200348,3,3.351243
0.0,3,3.354937
-0.377024,2,3.357519
0.0,3,3.360806
0.0,4,3.365455
0.0,4,3.369973
-0.541254,3,3.373344
0.0,3,3.376561
0.005323,2,3.379091
0.0,5,3.384748
-0.30625,3,3.388114
0.0,2,3.39032
0.846416,2,3.392727
-0.632556,4,3.396864
0.0,3,3.400232
0.0,3,3.403389
-1.0,3,3.406715
0.0,4,3.410686
0.0,2,3.412993
0.0,3,3.416085
0.0,2,3.418094
1.0,3,3.421496
0.0,4,3.425546
-1.0,4,3.429845
-1.0,5,3.435095
0.0,3,3.438177
0.0,5,3.443206
0.0,5,3.448258
-0.063589,2,3.450748
-1.0,3,3.454162
-1.0,4,3.458451
0.0,3,3.461975
-0.109559,4,3.466085
0.0,3,3.469396
0.0,2,3.471499
-0.258561,3,3.474848
0.0,3,3.478116
-0.841989,4,3.48252
0.0,2,3.484638
0.0,2,3.486686
0.0,2,3.488863
-1.0,4,3.492997
0.0,2,3.495102
-1.0,3,3.4984
-0.977712,6,3.504463
-0.73236,4,3.508715
-0.346718,2,3.51107
0.0,2,3.513288
1.5,2,3.515452
-0.367394,3,3.518967
0.0,3,3.522064
-0.285045,3,3.525403
-0.921321,3,3.528525
0.0,3,3.531822
0.0,4,3.53586
0.0,2,3.538265
0.0,3,3.541304
0.0,4,3.546419
-0.467923,4,3.552638
-0.463643,3,3.557422
-0.783419,3,3.561967
-0.984392,2,3.564932
0.0,3,3.569487
0.0,2,3.572253
-0.339027,5,3.578251
-1.0,3,3.581487
0.0,4,3.585682
-0.703797,2,3.587952
0.0,3,3.591103
-0.451511,3,3.594439
-1.0,4,3.598426
0.0,3,3.601569
0.0,4,3.605538
-1.0,3,3.608666
0.419182,4,3.612677
