#{"t_start": 1779728427.6306465, "env_id": "Blackjack4game-v1"}
r,l,t
-0.19412,3,1.003675
0.0,4,1.008757
-0.783202,3,1.012503
0.0,3,1.016351
-0.284549,2,1.018884
-0.644291,3,1.021911
0.0,4,1.026344
0.0,4,1.030347
-0.157082,3,1.033515
0.0,3,1.036545
-0.960643,3,1.039807
-0.145983,3,1.043025
0.0,4,1.047187
0.0,3,1.049836
0.0,3,1.052923
0.0,3,1.055613
0.0,2,1.05766
-1.0,2,1.059658
0.0,5,1.06461
0.014399,3,1.067539
0.0,4,1.071133
0.0,2,1.073246
-0.576105,3,1.076044
0.0,3,1.07954
-0.145144,3,1.082414
0.0,2,1.084261
-1.0,4,1.088614
0.0,5,1.09345
0.168106,3,1.096399
-1.0,2,1.098387
0.207401,3,1.101699
-1.0,3,1.104485
-0.842331,6,1.110291
-0.283089,4,1.114166
0.0,3,1.11703
-0.259219,4,1.120907
0.0,2,1.122838
0.0,4,1.126931
-0.344375,4,1.131609
0.0,4,1.135332
-0.900502,3,1.138364
0.0,2,1.140244
0.0,3,1.143096
-1.0,3,1.146357
-0.487835,5,1.151009
0.019662,4,1.15439
-0.284041,4,1.158168
0.0,2,1.159855
0.837772,2,1.161641
0.0,3,1.164545
0.0,4,1.167902
0.0,3,1.170752
0.315098,2,1.172606
0.0,4,1.176139
0.0,4,1.179691
-1.0,3,1.182303
0.0,4,1.186021
0.854081,3,1.188621
0.0,3,1.191604
-1.0,2,1.193382
0.0,2,1.195096
0.989633,5,1.19965
-0.237012,4,1.203018
0.0,3,1.205999
0.0,4,1.209339
0.0,3,1.212278
-1.0,4,1.21575
0.0,4,1.219429
-1.0,3,1.222582
-0.363114,3,1.22538
0.0,3,1.228091
1.0,3,1.230761
-1.0,3,1.233626
-0.63417,4,1.237145
-0.697959,3,1.23995
0.699942,3,1.24299
0.561858,2,1.245462
0.0,4,1.249983
-0.016091,4,1.254655
0.0,3,1.257779
0.0,3,1.260847
0.0,2,1.262793
0.0,3,1.265676
-0.520156,4,1.269274
-0.630214,2,1.270957
-0.267983,4,1.274388
0.0,4,1.277915
-1.0,3,1.28066
-1.0,3,1.283284
0.0,2,1.284962
-1.0,2,1.286757
1.5,2,1.288454
